timestamp,username,user_id,ip_address,auth_result,session_id,user_agent,session_duration,response_time,request_size,response_size,attempt_count_for_username,attempt_count_from_ip,time_since_last_attempt,session_reused_flag,password_correct_flag,is_bruteforce_candidate,is_anomalous,failure_reason,event_id,notes
2025-10-31 17:02:37.378222,user_3,usr03,192.168.1.182,success,norm_sess_1898,Browser_1,1220,0.8810304839618652,72,1632,2,5,2903,0,1,0,0,,evt_0,
2025-10-31 17:02:37.378222,user_4,usr04,192.168.1.197,success,norm_sess_9526,Browser_1,2066,0.4546234296333366,71,1858,1,7,2808,0,1,0,0,,evt_1,
2025-10-31 17:02:37.378222,user_5,usr05,192.168.1.127,failure,norm_sess_4304,Browser_1,1896,1.3857289493614655,70,1681,4,5,1639,0,0,0,0,,evt_2,
2025-10-31 17:02:37.378222,user_6,usr06,192.168.1.111,success,norm_sess_8241,Browser_1,3154,0.3315947510265369,65,1513,2,4,2233,0,1,0,0,,evt_3,
2025-10-31 17:02:37.378222,user_4,usr04,192.168.1.129,success,norm_sess_7597,Browser_1,2381,0.7144813489406953,70,1814,3,2,1711,0,1,0,0,,evt_4,
2025-10-31 17:02:37.378222,user_7,usr07,192.168.1.176,success,norm_sess_2350,Browser_1,2533,1.2415828185931534,69,816,1,5,2888,0,1,0,0,bad_password,evt_5,
2025-10-31 17:02:37.378222,user_6,usr06,192.168.1.166,success,norm_sess_6669,Browser_1,1971,1.0554870784032826,66,839,3,2,3341,0,1,0,0,,evt_6,
2025-10-31 17:02:37.378222,user_5,usr05,192.168.1.121,success,norm_sess_1749,Browser_1,2521,0.6330912016462115,71,870,2,1,3062,0,1,0,0,,evt_7,
2025-10-31 17:02:37.378222,user_7,usr07,192.168.1.128,failure,norm_sess_7311,Browser_1,3438,0.9023237000616615,66,1398,2,6,1803,0,0,0,0,,evt_8,
2025-10-31 17:02:37.378222,user_6,usr06,192.168.1.125,success,norm_sess_1846,Browser_1,2255,0.5422066772273549,65,1810,4,1,1392,0,1,0,0,bad_password,evt_9,
2025-10-31 17:02:37.378222,user_3,usr03,192.168.1.128,success,norm_sess_4713,Browser_1,2942,0.980263020627075,67,1532,4,2,1438,0,1,0,0,bad_password,evt_10,
2025-10-31 17:02:37.378222,user_5,usr05,192.168.1.148,success,norm_sess_7622,Browser_1,1911,0.12522850841213515,72,1559,1,3,1284,0,1,0,0,,evt_11,
2025-10-31 17:02:37.378222,user_6,usr06,192.168.1.186,success,norm_sess_5019,Browser_1,1002,0.8189315400729515,69,1528,2,3,1764,1,1,0,0,bad_password,evt_12,
2025-10-31 17:02:37.378222,user_9,usr09,192.168.1.157,failure,norm_sess_4452,Browser_1,1863,1.2538785243608852,67,1457,1,4,2400,1,0,0,0,,evt_13,
2025-10-31 17:02:37.378222,user_7,usr07,192.168.1.182,success,norm_sess_1892,Browser_1,1203,0.3589469151597572,73,1374,1,7,1567,0,1,0,0,,evt_14,
2025-10-31 17:02:37.378222,user_4,usr04,192.168.1.183,failure,norm_sess_2642,Browser_1,2977,1.0038373507908618,65,1124,3,4,1234,0,0,0,0,,evt_15,
2025-10-31 17:02:37.378222,user_5,usr05,192.168.1.171,success,norm_sess_1373,Browser_1,2660,0.8732966514088223,67,860,3,6,632,0,1,0,0,,evt_16,
2025-10-31 17:02:37.378222,user_8,usr08,192.168.1.188,success,norm_sess_3281,Browser_1,501,1.079105588816162,65,1730,3,6,1548,0,1,0,0,,evt_17,
2025-10-31 17:02:37.378222,user_6,usr06,192.168.1.153,failure,norm_sess_7390,Browser_1,2858,0.3284074145977469,67,1071,3,6,1365,0,0,0,0,,evt_18,
2025-10-31 17:02:37.378222,user_6,usr06,192.168.1.141,success,norm_sess_1310,Browser_1,3033,1.2790065386437124,74,1918,2,3,2519,0,1,0,0,,evt_19,
2025-10-31 17:02:37.378222,user_7,usr07,192.168.1.152,success,norm_sess_7052,Browser_1,2317,0.518429953154749,68,1463,3,4,645,0,1,0,0,,evt_20,
2025-10-31 17:02:37.378222,user_5,usr05,192.168.1.166,success,norm_sess_6865,Browser_1,1378,1.3372580579958562,73,1887,2,1,1233,0,1,0,0,,evt_21,
2025-10-31 17:02:37.378222,user_8,usr08,192.168.1.170,failure,norm_sess_2234,Browser_1,2292,1.0625615420048689,67,980,4,1,1504,0,0,0,0,,evt_22,
2025-10-31 17:02:37.378222,user_9,usr09,192.168.1.148,success,norm_sess_1828,Browser_1,3491,0.30860875344262007,70,1804,4,7,2920,0,1,0,0,bad_password,evt_23,
2025-10-31 17:02:37.378222,user_1,usr01,192.168.1.164,success,norm_sess_9447,Browser_1,2190,0.9103413561260095,68,1722,2,3,2201,0,1,0,0,,evt_24,
2025-10-31 17:02:37.378222,user_7,usr07,192.168.1.158,success,norm_sess_1413,Browser_1,2345,0.7238740900014435,72,1501,1,4,3456,0,1,0,0,bad_password,evt_25,
2025-10-31 17:02:37.378222,user_9,usr09,192.168.1.185,success,norm_sess_8500,Browser_1,1158,0.6672208902948884,68,1147,3,6,1303,0,1,0,0,,evt_26,
2025-10-31 17:02:37.378222,user_3,usr03,192.168.1.167,success,norm_sess_7317,Browser_1,2800,1.4273765161432466,65,1817,1,7,1535,0,1,0,0,,evt_27,
2025-10-31 17:02:37.378222,user_9,usr09,192.168.1.136,success,norm_sess_9533,Browser_1,3041,0.2764612020484284,65,1334,1,6,1094,0,1,0,0,,evt_28,
2025-10-31 17:02:37.378222,user_7,usr07,192.168.1.190,success,norm_sess_2100,Browser_1,2025,0.6204315746762026,71,1071,1,6,984,0,1,0,0,bad_password,evt_29,
2025-10-31 17:02:37.378222,user_9,usr09,192.168.1.174,success,norm_sess_8957,Browser_1,741,1.3829267138384966,74,1534,3,2,901,0,1,0,0,,evt_30,
2025-10-31 17:02:37.378222,user_3,usr03,192.168.1.199,success,norm_sess_4370,Browser_1,663,0.4260643971303776,65,1021,2,4,2768,0,1,0,0,,evt_31,
